booth_number,candidate_1_votes,candidate_2_votes,candidate_3_votes,candidate_4_votes,candidate_5_votes,candidate_6_votes,candidate_7_votes,candidate_8_votes,candidate_9_votes,candidate_10_votes
446,2376,8322,8188,4685,6272,5612,6084,9650,2669,4724
447,8060,4246,5958,6507,4464,1841,3575,984,4078,5921
448,5840,8736,2422,4233,1159,756,6934,9795,6865,2207
449,6005,5774,8858,7978,429,1542,581,1102,6924,7667
450,7525,8557,2810,5595,5912,5375,3445,7956,6201,6415
451,1634,4064,4744,6985,2899,1122,2445,588,4637,1230
452,7417,1987,9975,1640,4833,3332,1096,2660,6325,9272
453,910,7331,1091,4775,3122,9036,2778,9041,6463,69
454,4857,5043,6477,4576,5663,5431,62,5226,7476,3693
455,5886,1668,9302,7910,4589,706,22,4730,7990,5262
456,5121,7242,5493,8171,1125,9299,6128,7737,6633,9458
457,1804,8754,5068,7360,27,4611,9982,1614,86,4503
458,7680,1323,5602,2261,1184,4459,7768,153,6144,9332
459,9646,5745,6573,4057,8348,2341,1878,4024,7721,3035
460,3998,1993,8586,5327,6331,480,5831,7799,5819,5216
461,9614,7242,7633,1970,4068,5784,974,7188,3784,7564
462,6115,1272,2155,5853,7107,9987,6803,4926,3922,8684
463,2041,2332,6229,5678,9757,1345,7582,7517,1563,1109
464,2721,2254,5081,7179,5280,1305,3382,1274,5531,6925
465,9620,5791,7136,4934,8072,3831,1855,8181,4302,262
466,2087,5537,4404,2310,9524,6300,7813,1517,1039,7736
467,4913,7273,6490,2079,2135,1369,7953,6428,6645,677
468,1250,4277,6098,7435,3018,682,1359,6704,1437,1016
469,418,5359,1508,8771,8986,9572,4461,3598,9086,6506
470,7127,1698,9255,2393,3243,2594,2435,446,7887,3113
471,8690,5508,6244,7287,3272,1954,6233,6261,5493,5652
472,9378,8228,5387,2222,7966,1165,8509,1997,6981,4919
473,3834,8305,5593,4864,7926,5538,8916,2355,9119,915
474,8566,6912,2566,3461,8845,865,5575,3157,8877,3367
475,1836,9957,662,6917,1239,6749,7306,5012,4763,2419
476,1064,8522,6412,6316,328,466,9,601,9634,8878
477,419,8463,4782,6310,6985,6281,7698,4490,9473,6901
478,2762,9694,2724,8220,3547,2128,2507,2083,9843,3704
479,3285,5136,1541,945,5590,6538,3017,8827,884,9671
480,3322,2439,1586,3249,8260,2130,5809,4422,8780,1402
481,6697,5775,5400,9395,2083,7224,203,834,7694,5258
482,6382,1492,5490,8727,1394,3970,3027,7109,5722,2814
483,2050,6821,7831,4491,3748,9522,8732,2522,6245,1013
484,8160,2158,8171,6506,7205,1382,7599,3434,4526,9026
485,4191,5622,1551,8252,3661,9028,1639,6649,4109,2212
486,4616,4340,4988,50,1822,3550,6819,9708,4893,4910
487,7405,8288,2290,5580,8137,8726,9929,4458,3363,4277
488,657,6853,4909,7949,2807,554,8123,4483,232,1238
489,1512,3915,9633,2644,4652,8838,5047,9018,3468,5510
490,4451,5880,4039,6927,3551,1154,4228,4891,1226,4525
491,4275,3799,4365,1405,4424,4211,8650,928,5155,9876
492,5573,3742,4449,2135,1581,478,168,4329,4440,4144
493,3190,421,3714,1095,3649,9604,2574,3233,25,9812
494,8220,3746,5517,6238,9792,6,8119,4764,1241,421
495,7656,319,2655,6544,1357,6954,7148,1845,1290,6886
496,3927,5039,2852,7939,8854,6965,1264,2222,8626,2911
497,490,1611,1826,3485,1610,878,9035,9823,4508,7183
498,2518,4502,8971,5439,5111,8272,3280,3179,8606,1002
499,7109,6970,9522,6305,5994,2224,6590,5650,1101,7621
500,1920,7329,2634,4522,9762,1143,4351,5121,392,3772
501,930,3475,4987,5424,6165,5288,4924,1439,721,6941
502,4468,9898,2338,1593,9286,692,306,8703,8304,6315
503,4073,5113,5811,3722,33,2811,9819,3633,4280,8725
504,7866,3473,7029,3543,6816,5690,4439,4608,1249,4043
505,1888,9732,2993,2249,9738,2604,7701,2597,2530,3166
506,2346,7724,9023,9805,3713,8501,9034,366,1380,2000
507,4737,7222,7531,9431,3647,3901,4429,9856,4201,834
508,3867,9258,1760,4372,1840,7769,6833,3956,7197,9333
509,8221,9816,4226,221,9193,4855,8778,7890,990,5206
510,8570,170,1436,1413,9709,9090,9908,560,1615,1732
511,522,9833,1254,3586,6618,321,4172,7953,7879,4029
512,9812,1876,2978,4406,2340,2641,8137,7813,7593,7123
513,9882,3708,914,8322,9135,6338,2963,2579,7022,1449
514,9543,4739,1634,5677,2204,8460,8412,2624,496,5942
515,8509,1613,4166,6,6346,6108,6695,3328,6911,1090
516,4338,6254,8447,4969,6311,7468,6151,1548,4013,4712
517,989,3529,7824,5974,6675,1719,9978,4661,7120,7283
518,8436,4872,6742,7488,3528,7999,6502,5014,2390,5046
519,8929,4384,2156,7126,37,5614,6454,9709,2222,5750
520,4209,2269,6989,6112,2646,5679,5572,2197,1955,3027
521,1324,6542,3459,5352,1341,726,7344,1415,4038,4764
522,9184,5891,8476,7811,3357,2205,6175,2752,2718,5339
523,7633,8124,9231,9223,1637,9867,7478,8460,1161,3572
524,8611,2770,6769,4314,1815,2573,5294,4663,2262,9938
525,7950,1095,7685,118,2542,7866,3857,107,5945,6130
526,3967,2817,1631,9957,7285,5226,8147,1647,6993,444
527,7617,3446,5767,3222,3707,6193,3762,253,947,7382
528,1416,8084,5688,9520,6316,2003,1942,1262,8676,1477
529,3551,8191,5581,4131,5082,3711,3500,7428,9818,6719
530,2928,7511,7288,2405,5717,1159,9591,309,6288,4180
531,5647,9516,7783,478,9585,3773,2992,9172,1290,7598
532,8309,179,2707,9039,5748,1628,2697,8548,6116,6619
533,5111,9562,8243,1018,8242,5392,3778,2834,5946,120
534,9330,9984,2020,6073,3876,3811,7357,9465,8075,3433
535,3918,5878,6767,6858,9083,109,7902,8465,7797,4439
536,1876,1175,4140,3871,7630,201,2128,5847,6296,3087
537,4970,4312,7193,8227,5197,9014,5556,8931,3019,2300
538,6938,2699,1759,1383,2049,1097,7582,7972,1852,7465
539,7418,8541,1128,7506,6198,3111,3116,9801,3694,3334
540,5107,8899,7107,6121,1841,2569,42,9054,2208,4067
541,3446,3586,7738,6281,2566,5511,5052,5717,7837,9074
542,782,5061,1445,9479,4885,5807,3429,8092,8535,1742
543,9724,9635,5160,3583,9135,406,3386,533,6236,7180
544,3545,961,1337,4901,6579,1770,9168,661,2570,1634
545,4935,1803,9225,9586,4587,6164,2430,2134,691,9017
546,9230,2481,5291,6723,5109,3962,8864,4956,6907,8313
547,3341,2621,6026,660,8626,5975,3588,9524,4492,9924
548,6423,8521,4917,4670,1429,1505,2997,3282,5252,3674
549,674,7724,1161,596,1810,1175,8120,879,5171,7010
550,4456,4651,7889,1998,440,8071,9970,606,8305,7504
551,5564,142,8242,3445,7038,9174,6730,8811,2418,1334
552,6751,537,4710,4092,6618,9483,5525,631,5142,1849
553,3020,2449,4927,979,8412,5112,9190,4457,551,5240
554,3127,9573,940,134,9792,1884,763,697,59,1437
555,1961,2419,5130,6583,8231,69,261,240,6012,3969
556,227,9228,1940,4674,7583,7512,9870,7410,1728,23
557,1707,4593,5563,1296,3422,704,5386,2663,2614,9046
558,5505,7855,4063,1910,5866,6018,5535,1808,1880,7740
559,5071,2933,9182,3511,2629,1568,7765,3679,1459,6090
560,9340,8965,3430,6545,2051,8294,7341,8767,6725,4738
561,7858,7567,8812,2309,191,1760,9725,3753,6916,8658
562,4892,314,9949,2472,4072,2675,5344,781,3979,757
563,5761,9752,1029,3932,4254,7711,6044,1041,6014,3427
564,6533,6355,4689,4594,6889,4742,1555,6787,7698,9480
565,1897,7981,8494,1433,499,3931,6893,9731,3993,4635
566,2234,1181,8232,287,9492,4921,1648,8505,4607,7973
567,627,3192,8457,204,2974,294,2921,906,4167,3609
568,4854,9605,7145,3758,5092,9694,4903,5017,6125,9139
569,4146,4700,6413,8893,7416,872,2029,8397,8507,13
570,9573,5363,2553,5115,4505,5213,5973,3326,4179,1883
571,5587,8405,9677,6330,1191,5679,8236,5279,2941,2339
572,3625,8123,1856,7598,9262,3273,4213,7733,8201,6338
573,9755,894,8183,9237,9665,438,1201,9253,8254,7909
574,3109,8727,8573,1637,9904,2088,5622,1105,8269,4487
575,1134,2989,1443,2770,3534,4158,5133,2270,5102,9937
576,7852,7379,4939,6729,9740,3663,7613,9704,659,145
577,577,8363,8248,4708,3100,8800,6455,8714,2451,3277
578,4158,2026,9584,1659,4531,8091,9791,2347,6231,2529
579,3830,9003,1940,9540,9895,751,2425,2384,3611,6813
580,1797,5666,9892,6810,8137,4999,9304,9095,9910,7648
581,8165,797,5429,6639,8563,2242,2764,2819,2179,2105
582,5326,5883,8364,5615,7783,1075,8221,5122,2643,3160
583,6940,4153,3822,6751,2225,5847,4137,5708,4402,4434
584,8102,1143,1472,329,1988,1491,7980,9261,9481,51
585,1137,9,6160,8104,2452,1629,1058,4111,3324,3041
586,3643,5696,9412,1159,7766,689,6420,4797,1974,6746
587,8491,9921,1922,6787,7739,9766,4190,913,5797,3553
588,3559,5969,8171,7690,3689,9190,5700,1802,6067,2751
589,9452,2626,6082,6137,3504,1934,9008,9739,9269,758
590,2110,2800,5704,9640,4829,2501,1937,854,2208,8230
591,7077,873,128,8649,3549,4210,6620,4390,254,4477
592,2277,282,6303,9897,3582,2293,8101,7804,4717,4780
593,2600,1766,773,9615,25,9608,7695,8344,4280,3096
594,7107,4537,8328,6479,9675,8441,9896,6904,8415,230
595,4001,7355,9187,7802,7540,8544,632,5956,9976,3695
596,7971,9713,6820,4556,259,674,9653,1293,2541,8620
597,1139,5692,3270,5019,5230,8896,6609,3836,3430,574
598,3545,8326,408,538,533,1645,4260,3874,2209,1498
599,8509,4951,2220,6650,8720,8972,7447,9108,8346,2254
600,9330,7305,6431,687,2238,1292,8685,9314,5378,1237
601,2985,6074,8847,655,851,1450,4378,5227,4265,7592
602,1108,1728,5085,5135,8268,6325,558,2559,1642,3151
603,2262,706,1672,9008,5884,2400,6709,1978,592,3880
604,8796,6614,782,1435,8859,9931,5476,1660,8565,1358
605,642,1375,603,1416,9424,9436,390,2371,6444,5057
606,3917,7423,1229,1548,4083,8103,604,1019,4209,5789
607,5022,9252,2771,562,3089,203,2660,4203,6942,8501
608,6104,2252,4076,8352,8755,333,7948,1830,433,6677
609,526,9515,9985,7597,1084,5643,9884,1299,451,7188
610,9717,4520,9652,4904,7536,7587,4473,7591,9514,9352
611,6204,1978,4486,6159,4583,7383,6563,2471,3583,6080
612,4468,6983,1119,7701,2504,4339,65,7271,9585,6285
613,275,4058,4914,9101,8129,5321,6529,7259,8909,8477
614,8214,2499,9179,558,8447,9608,5944,7256,9590,1113
615,5083,4663,3547,3289,3318,529,498,7979,1309,4264
616,867,5567,2144,2618,5403,2937,4973,2519,6336,285
617,1664,1169,1950,7786,6285,5501,8247,4459,6914,3329
618,3007,7457,8796,5255,2946,6398,6401,5373,782,2420
619,2255,8338,1275,2608,6759,7909,1152,802,6832,4544
620,9255,9507,5917,9659,4419,620,4792,2248,2067,3656
621,238,5550,5895,9384,7159,3204,7613,1744,5978,4000
622,4831,3591,2267,494,7861,778,2733,8459,7821,7024
623,653,8153,9822,8265,5295,5866,7120,6768,5230,5795
624,7276,1521,8134,5649,6479,2578,2400,7599,7484,2345
625,2035,811,5629,7952,6574,1833,7420,195,9010,3996
626,5007,4469,1234,9518,2475,8745,5418,3603,6568,2719
627,2993,7503,4960,2193,8146,8331,4020,7658,3130,8212
628,5787,9787,9947,2792,6233,1168,4400,5714,5652,7802
629,663,6326,5940,6399,1579,8266,5747,8518,1772,4174
630,8359,5077,1374,8395,4185,1768,5544,7242,6388,6606
631,200,4496,5629,6772,9810,2487,7842,9172,4509,6124
632,5656,9785,6592,4546,9512,3218,922,1174,3241,1038
633,1810,4267,9844,5294,5261,4255,4461,2278,6553,2265
634,185,3702,7147,7651,965,5409,4522,6808,8260,2402
635,8688,7608,4173,2902,146,5337,652,520,8905,7636
636,7116,7094,8684,4122,4988,3322,2880,9403,6329,6902
637,7646,1415,75,3581,9579,6419,2419,805,9785,3471
638,4467,8638,2631,301,3105,8949,2283,2971,3362,2037
639,4785,1941,8016,2072,6810,1663,4320,3806,9142,8693
640,3218,6635,1280,6395,395,4165,5908,4277,2496,1227
641,257,5324,8648,1431,4628,9521,9696,8853,8167,8694
642,9815,3272,3057,1544,2202,2698,3293,1071,4234,7262
643,7021,4324,441,1297,2056,3685,8784,9518,9504,6744
644,831,3361,3553,9492,1502,813,7502,9618,6086,2759
645,1224,9290,7851,916,1322,1590,1120,1525,8861,1045
646,9488,9201,7240,9993,8571,1816,5929,2051,4396,7948
647,7718,1875,2279,5142,8877,3186,5269,4873,5137,2888
648,7336,4683,1138,6519,5534,1017,7202,7945,3281,1098
649,6565,7197,3273,9565,7920,2792,4140,9591,9787,5168
650,1672,3935,6500,5775,6985,465,5426,8447,3079,8319
651,671,2004,1523,6878,5304,9136,1103,1007,98,9897
652,7516,2510,2148,2687,6326,6856,3058,2480,6990,5533
653,9673,7500,5156,3109,785,4006,608,1850,953,5423
654,7774,2325,9813,435,5721,4008,7944,6084,4047,6712
655,7758,9545,2180,2794,6733,8832,3309,1616,7099,9202
656,3416,6064,2119,9437,8583,9189,3294,9435,2349,778
657,4892,8242,6950,2737,9109,3351,3488,3476,8512,4493
658,4874,8141,4767,9936,3744,4961,6370,6667,2305,307
659,1505,8585,8881,6678,6680,8141,4283,1281,4970,9441
660,3427,7248,5820,6981,1150,2342,4209,6400,2118,7912
661,3499,4317,4435,4848,4223,9192,8817,7516,1675,8071
662,7082,3517,2886,7977,6432,9818,5331,8582,5243,7952
663,8023,3662,6515,5852,474,4155,5317,9306,6965,4101
664,5719,2114,5348,3151,3557,6871,6912,1694,1040,63
665,9639,1677,6124,6143,8697,6541,9720,7662,1983,2166
666,8177,573,2040,4454,2497,2798,9134,5548,2117,624
667,8252,3724,6179,9583,4052,1880,3757,8486,9885,2293
668,5086,3150,1211,2408,2709,1889,4983,237,3298,2880
669,4779,4141,2403,1123,6759,5946,2111,1123,1562,7931
670,4026,2051,4379,4083,3548,3650,2216,6910,4002,1499
671,3448,7375,2735,4879,7709,3782,2742,4025,2104,7857
672,5117,8975,3110,8943,6466,5696,2148,2542,5512,1094
673,8649,8777,6013,5345,1390,1308,4994,2841,5121,8146
674,367,8158,2429,6510,3467,6827,7160,9752,4570,4646
675,2569,3011,9814,7655,8084,8829,6961,5392,2451,9810
676,2618,2482,296,855,3923,4606,8539,9540,1987,2550
677,5483,5036,5503,2410,2114,8007,3419,8216,1164,4257
678,4619,4539,8559,9703,5660,1252,4399,3943,3815,255
679,6206,7588,9775,7137,7623,4355,4776,296,7160,6660
680,7763,5892,3644,2736,2267,9084,1377,9996,2341,82
681,2456,6664,4682,5809,608,3052,3227,3626,5670,7005
682,9200,9372,9616,455,4564,7326,6297,2818,8003,4173
683,2377,2203,5548,5255,9578,2615,3454,9071,9501,5520
684,1921,4347,6691,3723,8691,823,6070,4322,2303,3295
685,2656,4833,9403,3927,1012,1145,9357,6866,6479,5763
686,3817,2196,2212,7067,8449,1221,5671,1790,2946,3706
687,9532,5020,4133,4497,9825,281,2355,6936,7202,7046
688,3885,103,8414,2571,5965,8662,623,1916,6970,1822
689,5486,108,3047,2268,6938,554,2175,403,6865,5859
690,4363,2540,962,1615,2227,5873,4934,1323,9036,7113
691,6168,435,6881,9557,4429,2680,7707,5685,2230,7199
692,4335,3825,9180,5913,685,4930,6361,5760,2246,9023
693,5260,9710,3008,439,316,4463,2060,4241,2908,7588
694,5251,1043,8358,5464,614,8087,8688,4805,4813,2270
695,4740,3689,3479,475,3035,3679,8656,5529,4056,1084
696,7517,5056,4883,7941,206,2233,8372,281,7911,8158
697,9735,730,1041,6551,6439,8763,2831,488,3086,720
698,5949,5921,6702,1788,5314,6559,6483,1294,1398,2833
699,688,8290,6220,9699,497,7121,9345,3260,4610,4499
700,2282,7326,4846,3184,4821,7914,7757,6007,5477,4083
701,311,9715,9268,1620,5078,3377,276,6879,7954,3284
702,1825,7074,6981,5208,119,7558,1709,561,3304,3054
703,6237,7431,5332,8226,8506,7345,7134,681,7889,285
704,6593,6360,2268,57,4030,5398,2377,8688,3544,5857
705,4665,8811,7105,8352,166,8334,3023,3631,5150,6755
706,1717,5335,4424,752,3652,6947,6662,1715,6949,8331
707,6340,6760,5670,6788,3436,1517,1249,1920,3426,193
708,9959,2599,602,1542,5914,7312,344,9626,1443,9456
709,7853,7809,3537,692,1719,2609,3647,5189,4190,6260
710,3373,1139,8419,1286,9426,5462,1111,9827,8388,4310
711,3892,4728,992,9933,3321,8544,1336,6589,2569,7805
712,4523,8347,1448,6220,7901,6046,6656,2118,4861,7206
713,2260,3075,6694,5716,3594,3355,708,4310,8176,8116
714,6446,10,1930,893,3127,9290,259,6477,4787,7609
715,2131,595,3580,3359,4354,1090,6601,2773,7964,1020
716,5592,8278,7995,6154,1599,4986,6176,5756,6018,8297
717,5863,1611,5103,3129,4992,8181,7627,1813,750,7665
718,8903,4129,4074,4700,7059,3498,5927,2590,5944,7833
719,9111,1447,9846,2045,6627,8188,1244,3087,6084,3957
720,4795,7628,9044,642,7372,3170,8900,8884,8101,3461
721,3859,4232,6580,823,2946,2005,7050,2238,9314,3033
722,2573,5612,5088,6547,8663,4081,6518,3149,3270,9047
723,4650,1846,8025,1201,92,6400,238,3500,629,4554
724,1882,7765,7197,2954,135,5984,6286,9008,263,1147
725,4599,2223,3972,1543,814,5203,3394,9833,2716,9261
726,3158,3069,306,4283,831,4722,3697,7839,488,9917
727,2165,8002,3789,5085,7123,3870,1557,7878,6928,6707
728,4007,4101,8173,4314,8373,305,2843,6951,3708,7979
729,9063,9212,48,1913,5347,7151,9828,6814,573,2490
730,8739,985,5091,6622,7534,3686,1827,4412,558,8671
731,4369,3749,2767,862,496,1430,7282,5145,4465,2625
732,9536,740,6940,6825,130,5150,3590,8552,4964,7601
733,9200,8685,5215,1383,4222,5140,869,8516,9419,3414
734,6871,8609,1548,6122,1180,899,8355,2852,7051,5919
735,1249,4873,7698,6010,827,1597,2505,825,6049,5488
736,8790,3193,4297,421,2307,4470,7080,8608,3732,8087
737,8972,2915,9709,4754,9529,6529,5120,6503,9098,470
738,2380,9864,5742,5640,520,7265,5525,6393,5309,436
739,633,1092,8868,9085,9773,9944,5526,1921,8805,7829
740,3515,9836,2271,223,7187,2562,4231,5692,8375,357
741,3067,6522,6609,1195,7452,3361,5714,6997,5211,7758
742,3264,5964,2363,3572,3187,766,5527,6189,1943,5853
743,8835,3332,5561,5916,8740,5680,7233,2476,128,3691
744,9712,3702,4698,2962,4477,6110,621,240,1401,2128
745,6275,4705,5768,4792,844,2047,1064,6279,4808,5664
746,621,7656,3739,8368,4673,5038,8771,123,6693,5969
747,8429,7627,2492,9604,3751,5214,1467,2484,962,4864
748,7281,3172,1850,6638,409,3235,8096,7629,2839,7076
749,3397,8201,7916,9344,1959,5952,4115,8694,3984,1224
750,2163,4522,7984,3232,8995,5714,9626,5257,9384,5039
751,1232,9073,3715,9634,7919,1059,6406,5056,2,4950
752,1647,8527,8981,4905,4900,980,8250,5800,4272,6967
753,3289,5418,4790,3621,7263,8394,7494,5718,870,112
754,619,4019,8214,8962,6014,1232,9662,2785,8331,9332
755,3246,2259,5348,9913,4827,9866,4787,2021,2053,8783
756,2391,1909,527,6425,2963,6468,7445,6078,8749,6450
757,1975,9477,7354,985,2305,4894,3216,8895,2299,7104
758,9746,5325,7915,8473,1602,8365,763,1473,5088,5687
759,2622,1083,3740,5744,5005,6968,7907,9180,6427,5387
760,6796,3485,9035,6676,8142,3884,2341,6408,8808,3222
761,7232,8975,2975,7173,61,874,382,6946,6179,3823
762,6105,5502,349,3081,8690,3291,3862,5512,6327,6026
763,6791,1084,1811,5750,2093,3310,4425,282,8852,7566
764,2248,9282,4303,2732,5483,5583,5569,7209,6452,793
765,5192,5308,3207,4360,4083,4375,6817,6886,361,4392
766,3661,9674,7680,9915,1471,1066,5187,6747,6984,2771
767,2318,9842,8993,7897,509,8975,8585,3642,686,677
768,5917,6020,2889,9650,4820,1573,5748,3366,4270,651
769,4538,4363,646,3029,3300,8869,5374,4566,8260,8588
770,6085,4258,47,4468,9331,4272,2999,3311,2295,8961
771,7426,5878,5898,5730,9283,3841,1447,8464,374,6448
772,1636,7161,8515,3586,3845,5969,6589,8595,1391,5149
773,2282,4712,6792,9884,2526,7066,9232,5931,2642,6111
774,7607,2457,1476,8341,2994,2069,7267,5729,6107,9903
775,8711,5183,1197,3784,6132,6009,5477,2065,2872,871
776,2014,6783,4378,1685,444,1619,2983,4495,3839,5325
777,2520,5588,2981,194,4946,4059,613,8070,4640,995
778,2838,6408,8499,6560,8078,3305,3158,5759,6831,6310
779,4091,3505,6715,4801,8119,3943,5195,9016,8558,2573
780,6715,4281,2967,9671,2104,2509,330,1868,1503,1751
781,5285,5376,632,8953,4360,3530,6665,379,8967,6110
782,2116,2167,837,4277,5060,9514,4384,8139,6013,2874
783,4105,1222,7538,6677,5225,6193,3664,7364,1155,9603
784,8577,17,8278,1411,9286,4814,7262,379,5630,7613
785,6941,9175,8239,6808,7943,1658,1317,2177,2306,9028
786,5861,5294,3776,789,4927,3115,8536,3814,3750,2818
787,2853,9813,3681,898,5493,9518,1278,2398,6863,4919
788,8329,918,1298,7775,6559,9890,6671,6325,27,2811
789,6707,22,2305,7129,6433,1181,7241,4823,9806,9031
790,9417,2259,2081,7129,6238,1717,4868,8799,5252,4975
791,8342,1445,4297,6936,7785,9544,575,1722,2435,268
792,5100,5034,3633,5483,4019,305,8817,5717,8745,3301
793,5346,488,2283,8216,3161,7278,4214,2303,478,6797
794,4454,5028,8304,9860,149,2799,7890,1874,7648,5866
795,4464,9462,5145,8171,2275,2602,6953,2692,7222,5643
796,7726,8325,2426,8588,6305,3870,3596,9313,6687,6598
797,3774,992,5989,4316,6448,589,7947,9672,6365,6059
798,1060,8039,2053,7579,7027,1419,4863,2844,2910,1360
799,9883,7203,9135,4203,8221,326,1626,1719,8555,5982
800,5892,9734,4018,3843,9332,9864,5398,3835,1189,4070
801,2399,614,1875,9566,905,7067,2074,6168,5826,363
802,7399,8841,2199,8917,6378,350,446,3384,748,5558
803,4585,6383,2495,625,2670,9480,2281,6539,6677,7466
804,3746,8089,7015,3397,1241,1302,3136,5869,7280,9937
805,8943,319,1975,2756,1716,7188,1823,1520,3323,6783
806,4259,4130,1395,8017,1072,1683,2082,3156,3829,6748
807,7185,6348,3742,1981,7883,6531,9278,2922,4099,5889
808,8709,2017,5761,6584,2671,9069,2048,6763,8675,1632
809,21,1411,9857,6520,5998,8669,5293,7881,8396,5167
810,655,1383,713,6676,4958,13,4747,9376,3850,1427
811,3293,8724,3231,3217,3717,7952,69,8322,9662,2844
812,8818,2380,4174,3541,3196,4421,7798,4774,8872,5161
813,6525,1126,7318,6172,8407,5414,7939,6303,9383,4549
814,9541,4225,1684,9651,576,5855,4288,7002,9014,8526
815,2159,2005,1885,8510,5970,6582,8495,805,5235,954
816,1827,6023,2854,7489,664,1962,8945,4598,5812,576
817,9870,2665,9129,1381,5707,3731,2281,8970,2018,3636
818,5409,8565,2724,2566,8246,9696,7029,2339,2259,6986
819,9389,9136,3834,527,5131,3059,6870,3179,6077,6951
820,4943,9149,2893,6017,691,5125,765,6399,2063,3614
821,791,5181,6269,5020,70,9720,87,2690,2036,2706
822,5002,1752,6225,2050,220,1685,9237,7687,671,8985
823,1601,5802,3088,2186,1707,1227,1049,6079,475,881
824,7843,6672,8017,9088,823,8485,7213,4430,8431,4793
825,4808,6476,5047,8190,7389,7572,5806,426,6998,7120
826,402,1421,6199,1658,2310,6428,2346,7372,817,6823
827,9494,2509,7393,4595,1976,9407,7330,9629,8795,7697
828,9251,123,1105,7920,1931,2663,7101,5558,5016,4139
829,68,9595,2024,9400,4127,6579,3779,6902,5879,4987
830,724,7528,2181,4965,3379,601,3397,1508,6660,9302
831,5619,9744,1875,9160,7945,8407,4090,8605,6340,1783
832,7851,7724,5810,6624,9833,4497,4867,6538,9255,8157
833,9102,7684,3908,149,8624,7551,3902,7554,622,1976
834,2388,237,6592,8757,1450,1442,6442,1301,8326,3572
835,5540,4627,1938,5887,2099,76,4852,2371,9526,3393
836,904,3462,9918,6656,3564,3471,2684,4835,6329,5141
837,2022,7581,8134,4340,7898,2917,8950,4708,6158,1977
838,3772,1045,1047,1268,5997,9084,1680,907,2520,826
839,5204,571,7214,9232,8592,8443,8682,277,3691,9154
840,260,8197,8170,7569,1236,8161,33,3685,7589,7185
841,7063,7116,9568,1421,9692,7299,249,8727,8986,4993
842,4994,3370,3869,1675,2263,2476,5851,1950,120,7370
843,9627,8890,6505,6631,793,5759,1096,5969,8806,3732
844,9188,9457,3376,7629,5244,7398,809,4803,6094,6850
845,1354,916,5306,4014,107,905,5486,7140,5675,9510
846,5980,2389,6173,2211,5314,4240,3268,6796,4600,8434
847,4824,2074,1057,3487,8401,1176,9745,803,1446,7501
848,6543,2134,5832,8390,7901,7279,6957,9466,286,7951
849,3787,7585,1519,9240,8307,3307,6046,8493,5592,3810
850,1148,3491,4036,6331,7128,5014,5872,6843,9405,8161
851,6428,218,1691,1594,1472,152,4007,5511,2537,9658
852,33,8682,8329,7461,3386,5008,2577,5349,4751,2956
853,4864,1663,2698,458,6478,4139,9850,7013,3194,9383
854,54,9547,8322,8950,5811,421,9227,3525,4470,6065
855,3407,7895,6263,5103,8534,7455,3010,8262,7407,9385
856,8497,6564,2763,9737,3150,331,3826,2484,1136,1900
857,4005,9198,2313,2368,1526,4129,5148,3290,4041,9531
858,8256,2446,2975,8846,252,971,4275,8186,4648,5524
859,762,9097,8841,1093,8340,9029,7606,4379,5153,3911
860,4967,4901,6276,1443,3688,8810,3319,167,9984,2781
861,2810,6550,9233,9587,3230,7033,1815,2876,9583,3545
862,5779,680,4556,2524,1166,8035,4961,2573,9878,9701
863,4922,7456,422,2500,4755,5377,2474,9343,8317,5904
864,1693,2756,4824,5147,821,3037,479,8288,1624,5253
865,6589,4183,5089,6482,3494,58,2854,7507,4745,3039
866,4917,2105,243,7290,4896,6644,6054,4606,2422,7400
867,4680,4893,3648,9889,9266,8105,4864,3128,4014,6491
868,6630,6764,2008,1996,4773,3919,596,3672,3714,5575
869,1001,4323,4044,704,5371,8961,5812,6184,162,8566
870,7156,6985,9645,4123,7548,7203,9400,8913,3819,6765
871,8043,1930,2818,9843,7346,2018,2039,4281,7775,4992
872,0,3651,7810,9925,9741,1069,5925,9212,514,2135
873,5256,8147,6400,1089,2583,5303,4250,9395,9306,9913
874,9408,7762,427,9895,9913,7566,5797,3079,4731,9529
875,6525,8430,7828,6155,5349,7416,2469,6812,4985,532
876,9163,328,9970,3306,6087,2398,1191,4357,9028,8428
877,6816,6658,1645,2025,9492,8351,6693,1459,8180,7079
878,8477,8671,573,9153,3749,2090,2580,149,6645,8176
879,9045,8041,2663,296,2154,6499,5917,7669,6235,8978
880,1724,6974,9274,5063,6292,1435,4633,6276,206,4238
881,5782,1507,1695,1466,5951,5473,6525,7542,7786,5377
882,4654,1979,6075,627,2232,4037,5821,6173,4206,4850
883,1452,1598,909,9696,7877,9063,1157,9331,6545,3255
884,5642,3521,3638,7780,4646,5264,4063,2122,9018,7021
885,7741,1371,9115,3524,5547,9196,9568,9020,2792,2061
886,429,1102,8517,9677,1056,3278,2897,8175,3870,7390
887,3401,2731,2485,558,9342,2251,4250,3286,6733,5129
888,1122,4308,8622,6809,4647,9901,8053,4621,3777,5785
889,7457,2724,8088,2324,4790,155,9722,9197,939,3310
890,7681,2623,8051,1232,6788,8178,7333,6843,5383,8700
891,3399,4163,9395,2135,9623,1965,6349,6966,1566,340
892,5447,3777,7192,9200,1457,9276,6046,9352,2275,4209
893,9560,7270,7601,3548,6143,4223,6388,8585,5048,9063
